title,company,location,posted_before,application_number,detail,description,url
Översättare Svenska till Engelska - AI Tränare,DataAnnotation,Sweden,Reposted 1 week ago,Over 100 people clicked apply,"Remote Contract Entry level
Skills: Syntax, Swedish, +4 more","About the job
DataAnnotation är engagerade i att skapa kvalitativ AI. Gå med i vårt team för att hjälpa till att träna AI-chatbotar samtidigt som du får flexibiliteten att arbeta på distans och välja ditt eget schema.

Vi söker en tvåspråkig professionell för att gå med i vårt team och lära chatbotar. Du kommer att ha samtal på både svenska och engelska med chatbotar för att mäta deras framsteg, samt skriva nya samtal för att lära dem vad de ska säga.

Förmåner:
Detta är en heltids- eller deltidsdistansposition.
Du kommer att kunna välja vilka projekt du vill arbeta med.
Du kan arbeta efter eget schema.
Projekt betalas per timme, med start från 30+ USD per timme, samt bonusar för högkvalitativt och högvolymarbete.

Ansvarsområden (både på svenska och engelska):
Komma på olika samtal inom en rad ämnen.
Skriva högkvalitativa svar när specifika instruktioner ges.
Jämföra prestanda för olika AI-modeller.
Forska och faktagranska AI-svar.

Kvalifikationer:
Flytande i svenska och engelska.
En kandidatexamen (avslutad eller pågående).
Utmärkta skriv- och grammatikfärdigheter.
Stark forsknings- och faktagranskningsförmåga för att säkerställa noggrannhet och originalitet.

Not: Betalning sker via PayPal. Vi kommer aldrig att be om några pengar från dig. PayPal hanterar alla valutakonverteringar från USD.


#swedish",https://www.linkedin.com/jobs/search/?currentjobid=4246505823&keywords=&location=sweden&start=75
"Butikssäljare till OKQ8 KARLSKOGA, deltid",Handelskammaren Värmland,"Karlskoga, Örebro County, Sweden",1 day ago,0 people clicked apply,"On-site Part-time
Skills: Business, Sales, +8 more","About the job
OK Värmland- Ett hållbart ägande

OK Värmland är ett unikt företag med en stark känsla för Värmland. Vi är medlemsägt och drivs på demokratisk grund. En medlem en röst. Vi är idag ca 64 000 medlemmar runt om i hela Värmland och idag har vi 16 bemannade stationer och 6 automatstationer. Samtliga stationer samarbetar under varumärket OKQ8. OK Värmland har ett hjärta för både glesbygd och stad och vill fortsätta att göra det möjligt att leva i hela länet. Det är viktigt för oss att gemensamt ta ansvar och åstadkomma förändringar och förbättringar för alla. Tillsammans med våra dotterbolag OK Värmland Fastighets AB och Reload AB i Värmland är vi ett lokalt, nytänkande och hållbart alternativ. Som medarbetare och medlem gör vi tillsammans gott för Värmland.

Är du en serviceinriktad lagspelare? I så fall kan vi erbjuda dig ett roligt arbete i en spännande miljö där ingen dag är den andra lik, med stor variation på arbetsuppgifterna. Ena sekunden hyr du ut en bil för att snabbt skifta till att förbereda och servera mat. På våra stationer är det ofta ett högt tempo där du och dina kollegor tar hand om våra kunder och deras önskemål.

Nu söker vi en ny kollega till OKQ8 KARLSKOGA som kan jobba helger.

Vi söker

Vi värdesätter dina personliga egenskaper framför tidigare erfarenhet och utbildning. Du är en positiv person som gillar att träffa nya människor. Du tycker om att arbeta i högt tempo och ser fram emot att vara en del av ett sammansvetsat team som tillsammans löser det arbetsdagen har att bjuda på. Det är meriterande om du tidigare jobbat med service eller försäljning. B-Körkort är det enda formella kravet.

Vi erbjuder

OK Värmland erbjuder en spännande arbetsplats, med rolig atmosfär och härliga kollegor. Här arbetar människor i alla åldrar med olika bakgrund. Vi tror på utveckling av oss själva. Det du inte kan innan du börjar – det lär vi dig! Att arbeta på en av våra stationer ger dig en fin språngbräda in i arbetslivet och karriären.

Som Butikssäljare arbetar du skifttjänstgöring. Denna tjänst är en tillsvidareanställning på 7 timmar per vecka och är förlagd främst på varannan helg. Om du kan arbeta andra tider vid behov är det bra. Stationen har öppet vardagar mellan klockan 06:00 - 22:00 och helger mellan klockan 07:00 - 21:00.

Kan du göra oss ännu bättre? Sök då tjänsten redan idag! Rekrytering sker löpande.

OKQ8 Scandinavia arbetar för att vara en jämställd arbetsplats med medarbetare som trivs och utvecklas och där olikheter uppmuntras. Vi vill vara ett företag som speglar samhället, med en inkluderande kultur som hjälper till att minska utanförskap och bidrar till mångfald.

Vår bransch är en av de främsta orsakerna till klimatförändringarna och om vi ska finnas kvar i framtiden behöver vår affär förändras i grunden. Vi arbetar aktivt för omställningen till ett fossilfritt samhälle genom att minska vårt eget klimatavtryck, såväl som att hjälpa våra kunder att göra bättre och mer hållbara val utifrån sina förutsättningar. Vill du vara med och bidra till hållbar utveckling på riktigt? Följ med på vår resa mot en fossilfri framtid!",https://www.linkedin.com/jobs/search/?currentjobid=4281598577&keywords=&location=sweden&start=75
Hållbarhetscontroller till Miljö & Hållbarhet,LKAB,"Stockholm, Stockholm County, Sweden",1 week ago,Over 100 people clicked apply,"On-site Full-time Entry level
Skills: Environmental Engineering, Environmental Compliance, +8 more","About the job
Job Posting End Date / last application date:

2025-09-06

I rollen som hållbarhetscontrollerfår du en nyckelposition i arbetet med att implementera och utveckla koncernens hållbarhetsrapportering enligt CSRD. Du blir en viktig drivkraft i att strukturera, samordna och kvalitetssäkra rapporteringen, samtidigt som du samarbetar nära olika delar av organisationen och externa parter för att säkerställa en transparent, tydlig och korrekt års- och hållbarhetsredovisning.

Framtidens viktigaste jobb

Vi vill leda omställningen av vår industri mot en hållbar framtid. Och på samma sätt som vi vill förändra världen, vill vi utveckla alla som är med oss på resan, personligt och professionellt. Vill du vara med och forma framtiden för världens gruv- och mineralindustri?

Din Roll

Som hållbarhetscontroller kliver du in i ett spännande skede där koncernen befinner sig mitt i implementeringen av CSRD och förbereder sin första fullständiga hållbarhetsrapportering enligt kraven i CSRD. Du får en nyckelroll i att driva strukturering, styrning och samordning av rapporteringsarbetet kopplat till års- och hållbarhetsredovisningen (ÅHR).

I uppdraget ansvarar du för samordning av innehåll, kravtolkning enligt ESRS och tidsplanering, liksom att kvalitetssäkra och verifiera hållbarhetsdata i nära dialog med verksamheten. Du arbetar nära hållbarhetsansvariga i affärsområden, revisorer och kommunikationsbyrå samt ingår i projektgruppen för ÅHR.

Rollen innebär ett nära samarbete med styrgruppen, projektledare och andra nyckelfunktioner, där du säkerställer att rapporteringen blir korrekt, transparent och i linje med gällande regelverk.

Det här har du med dig

Du är analytisk och har förmågan att tolka komplexa data och krav, vilket gör att du kan säkerställa korrekthet och kvalitet i hållbarhetsrapporteringen. Med en strukturerad arbetsmetod håller du ordning på tidsplaner, uppgifter och samordning mellan olika aktörer för att driva projektet framåt effektivt.

Din kommunikativa förmåga gör att du enkelt kan förmedla information och krav till både interna och externa intressenter på ett tydligt och anpassat sätt. Som initiativtagare tar du gärna egna initiativ för att lösa utmaningar och utveckla arbetssätt, vilket bidrar till ett framgångsrikt och proaktivt hållbarhetsarbetet

Du har även med dig

Högskoleutbildning inom ekonomi, statsvetenskap, miljövetenskap, hållbarhet eller motsvarande.
Erfarenhet av att arbeta strukturerat med projektledning och tidsplanering
Praktisk erfarenhet av rapporteringssystem, gärna UL360
God förståelse för hållbarhetsregelverk som CSRD och ESRS


Det här får du

Belöningsprogram
Fri träning på LKAB:s egna gym samt hos våra samarbetspartners på verksamhetsorterna i Norrbotten
Friskvårdsbidrag och studiestöd samt tillgång till konstförening, fritidsförening, fjällstugor och familjeaktiviteter
Förstärkt föräldrapenning med upp till 90 procent av din ordinarie lön i upp till sex månader (efter anställning i ett år)
Hjälp och stöd vid sjukdom eller i frågor om arbetsmiljö, hälsa, friskvård och rehabilitering
Ersättning för tandvård samt skydds- och terminalglasögon
Möjlighet att ansöka om stipendier vid studier både för dig och dina barn
Möjlighet att ansluta sig till vårt pensions- och försäkringsprogram med förmånliga priser


Övrig information

Omfattning: Heltid, tillsvidare

Sista ansökningsdag är 2025-09-07. Rekrytering sker löpande så vänta därför inte med din ansökan. Placeringsort: Kiruna, Gällivare, Svappavaara, Luleå eller Stockholm

För mer information om tjänsten vänligen kontakta rekryterande chef: Niklas Heneryd, avdelningschef miljö, energi och klimat, niklas.heneryd@lkab.com

Fackliga repressentanter

Kiruna/Svappavaara

Unionen, Sakari Alanko, 0980-725 08

Akademikerföreningen, Peter Johansson, 0980-718 79

Ledarna, Ingegerd Kyrö, 0980-710 50

Malmberget/Luleå

Unionen Södra Katarina Paganus, 0970-762 98

SACO-klubben Södra - Annika Taavoniku, 0970-795 32

Ledarna Södra – Christer Olofsson, 0970-765 84

About LKAB

LKAB is an international mining and minerals group with northern Sweden as its base and the whole world as its workplace. We lead the way towards carbon-free production and we do it together - in an open, warm and safe work environment with technology and development in focus. We welcome challenges, innovative ideas and initiative, always with equality and diversity in focus.

Do you work at LKAB today but are interested in a new role?

Then we would like you to submit your application via our internal career page. Log in to your Workday account and go to ""Jobs Hub"", where you can search for all available jobs and send your application.

Prior to recruitment, LKAB has considered recruitment channels and marketing. We kindly but firmly decline all contact from media marketers, recruitment sites and the like.",https://www.linkedin.com/jobs/search/?currentjobid=4277224830&keywords=&location=sweden&start=75
Registered Nurse - Work In Ireland - Fully Paid Relocation Package,Mercier Consultancy Bulgaria,Sweden,3 days ago,9 applicants,"€30K/yr - €40K/yr Remote Full-time Entry level
Skills: English, Patient Care, +8 more","About the job
Mercier Consultancy BG is thrilled to announce a fantastic opportunity for Registered Nurses who want to work in Ireland, complete with a fully paid relocation package. We are seeking dedicated nursing professionals who are passionate about providing exceptional patient care and wish to advance their careers in a supportive and innovative healthcare environment. As a Registered Nurse, you will play a vital role in ensuring that patients receive effective and compassionate care.

Key Responsibilities:

Deliver high-quality nursing care, assessing patients' needs and developing individualized care plans
Administer medications and treatments in accordance with established protocols and patient requirements
Monitor patient conditions, recording vital signs, and reporting significant changes to the healthcare team
Educate patients and their families about health management, treatment options, and preventive care measures
Document patient interactions and care activities accurately to ensure compliance with healthcare regulations
Collaborate effectively with a multidisciplinary team to enhance patient care delivery
Follow safety protocols and infection control measures to ensure a safe environment for all patients

Requirements

Bachelor's degree in Nursing and current registration as a Registered Nurse in your home country, or eligibility for registration in Ireland
Excellent command of the English language with strong verbal and written communication skills
Prior nursing experience in a clinical setting is preferred
Commitment to providing high-quality, compassionate care to patients
Able to effectively collaborate and work within a team-oriented healthcare environment
Strong organizational skills with the ability to manage multiple tasks and priorities effectively
Willingness to relocate to Ireland and adapt to a new cultural work environment

Benefits

Competitive Monthly Salary
Fully Paid Relocation Package
Fully Paid Training
Health Insurance
And Much More..",https://www.linkedin.com/jobs/search/?currentjobid=4280751749&keywords=&location=sweden&start=75
Familjehemsföräldrar sökes,YOGAKLOSTER AB,"Lerum, Västra Götaland County, Sweden",1 day ago,0 people clicked apply,"On-site Full-time Entry level
Skills: Operations Management, AV, +2 more","About the job
This job is sourced from a job board. Learn More
VI SÖKER I FÖRSTA HAND FAMILJEHEMSFÖRÄLDRAR RUNT BORÅS-, MARK-, HERRLJUNGA- OCH ULRICEHAMNS TRAKTEN.

Information om uppdraget

Som familjehem tar ni hand om ett barn eller en ung person i ert hem med stöd från socialtjänst och handledning av familjehemskonsulent. Barnen är i åldrarna 0-19 år. Er roll är att vara trygga, stabila vuxen med huvuduppgift att stötta och integrera barnet i er familj och i samhället. Det är viktigt att familjen har en stabil ekonomi och ett eget rum till barnet/ungdomen.

Som familjehem tar du hand om ett barn eller ungdom i ditt hem som är i behov av extra stöd och omsorg. Barnet/ungdomen kommer ofta från svåra omständigheter. Personlig lämplighet är av högsta värde och erfarenhet av liknande uppdrag är meriterande men inte en nödvändighet.

Vi erbjuder handledning och stöd till familjerna kontinuerligt och är alltid tillgängliga dygnet runt och det finns en personlig familjehemskonsulent knuten till familjen.

Familjehemsföräldrarna/föräldern erhåller ersättning för uppdraget motsvarande en genomsnittlig halvtidslön.

Utredning

För att kunna arbeta som familjehem genomgår ni som familj en utredning av utbildade konsulenter. Djupintervjuer, hembesök samt registerutdrag från brotts- och misstankeregistret, socialregistret Kronofogden samt Transportstyrelsen görs.

Efter godkänd utredningen görs även en matchningsutredning för att se om den placerade barnet/tonåringen matchar med er som familj.

Vår omfattande utredning görs både för er skull och för det placerade barnet/ungdomens skull.

Vår uppgift är att göra allt vi kan för att säkerhets ställa att ett barn/ungdom får ett bra familjehem där hen kan känna sig trygg, utvecklas och växa som person. Tyvärr har forskning visat att många placerade barn och ungdomar genom åren farit illa i sina familjehem, vi vill givetvis undvika detta och se till att de personer vi placerar får det bra i sina familjehem.

En utredning är också viktig för er som familj, genom att vi lär känna er under utredningsprocessen har vi möjlighet att göra en bra matchning med ett barn/ungdom som passa hos er. Vi vill ge er som familjehem bra förutsättningar för uppdraget.

Mer om vårt företag

YogaKloster är en retreatgård på landsbygden strax utanför Borås. Vi har ett brett samhällsengagemang och en del av vårt arbete utöver retreatgården är att utreda och handleda vuxna som tar emot barn och unga som familjehem. Vi kallar den delen av vår verksamhet för YK-familjehem.

YK-familjehem arbetar sedan flera år tillbaka med att handleda och stötta familjer i ett familjehemsuppdrag. Vårt uppdraget går ut på att söka efter, utreda och sedan handleda familjehemsföräldrar som tar emot barn och ungdomar i kris.

Arbetet i familjehemmen bedrivs som ett socialpedagogiskt arbete i ett nära samarbete mellan socialtjänsten, familjehemmet och YK-familjehem. Grundtanken för uppdraget med det placerade barnet/ungdomen utgår ifrån att individen utvecklas i samspel med andra människor, omgivningsfaktorer och olika yrkesprofessioner. Genom att YK-familjehem skapar en trygg bas med ett bra familjehem utrett i enlighet med socialstyrelsens riktlinjer erbjuds det en väg för ungdomen mot en ökad förmåga till ett självständigt liv.

YK-familjehems fokus är på att tillhandahålla hållbara, trygga, stabila familjehem som med stort hjärta öppnar upp sina hem för behövande barn och ungdomar.

YogaKloster AB har tillståndsbevis från IVO (inspektionen för vård och omsorg) att bedriva familjehemsverksamhet.

För att söka

Skicka era cv:n (är ni två vuxna vill vi ha cv från er båda) samt ett personligt brev där ni beskriver er familj och varför ni vill bli familjehem till vår mail: info@yogakloster.se.

Vi tar emot ansökningar och utreder familjehemsföräldrar kontinuerligt.

Läs gärna mer om uppdraget på: https://www.yogakloster.se/familjehem",https://www.linkedin.com/jobs/search/?currentjobid=4282022120&keywords=&location=sweden&start=75
Vikarier till vår vikarie pool på Optimal Assistans,OPTIMAL ASSISTANS I GÖTEBORG AB,"Härryda, Västra Götaland County, Sweden",3 weeks ago,0 people clicked apply,"On-site Full-time Entry level
Skills: AV, Administrative Assistance, +8 more","About the job
This job is sourced from a job board. Learn More
Du kan börja omgående med introduktion. Arbetstiden är varierande både dag, kväll, natt och helg

Perfekt extra jobb om du ska studera eller vill arbeta extra

Älska vardagen med oss!

Söker du ett stimulerande och roligt arbete?

Då är det dig vi söker! Du är intresserad av att arbeta med människor som har stora behov av hjälp för att leva sitt liv som du och jag.

Du är en person med hög arbetsmoral och ser helheten i ett uppdrag.

Optimal Assistans skapar möjlighet för personer med funktionsnedsättning att leva en självständig och delaktig vardag.

Vi söker dig som tar dig tid att lyssna på din brukares behov och är lyhörd och ödmjuk.

Du är trygg i din yrkesroll och har ett professionellt förhållningssätt.

Vi ser gärna att du har erfarenhet av att arbeta med personer med flerfunktionsnedsättning.

Du tycker om att arbeta med givna rutiner men kan även om det behövs ta självständiga beslut utefter personens behov och önskemål.

Du har ett gott humör och förmåga att känna av läget hos den personen du arbetar hos.

Skriv gärna i din ansökan när du kan börja och hur mycket du önskar arbeta, då vi har mellan ca 25-100%",https://www.linkedin.com/jobs/search/?currentjobid=4268158316&keywords=&location=sweden&start=75
Elkraftare - Vill du göra LIA eller exjobb hos oss?,Jönköping Energi,"Jönköping, Jönköping County, Sweden",Reposted 1 week ago,26 people clicked apply,"On-site Full-time Internship
Skills: AV, open source software, +2 more","About the job
Vill du göra praktik i en samhällsbärande organisation som drivs av hållbarhet och utveckling? Vi på Jönköping Energi vill vara en god kraft för ett gott samhälle och vi brinner för att utvecklas med Jönköping. Varje dag bidrar vi till ett hållbart samhälle och en hållbar miljö, vilket kräver öppenhet, innovation och ständig utveckling. 

Vi erbjuder löpande LIA-platser till studenter som läser elkraftsingenjör.

OBS! Vårens LIA-platser är tillsatta. Vi tar emot igen till hösten och börjar planeringen i sommar. 

Under din LIA-period kommer du att få se flera olika delar av vår verksamhet inom elnät och du kommer att kompetensutvecklas genom mötet med våra grymma kollegor. Då Jönköping Energi även har verksamhet inom ladd, sol, fjärrvärme och fiber kommer du även få en viss kunskap inom energisektorn som helhet.

Vi kan erbjuda dig en möjlighet att samarbete med ett företag som jobbar med några av samhällets viktigaste funktioner och infrastrukturer. Jönköping Energi är inne i en expansiv fas med utveckling och många spännande utmaningar framför sig.

Vi söker dig som

läser elkraftsingenjör, antingen genom en eftergymnasial yrkesutbildning eller på högskola/universitet. Vi tror att det är bra att få in en mix av utbildningsnivåer.

Nyfiken och engagerad är två viktiga egenskaper för oss! Beskriv gärna hur dessa egenskaper visar sig hos dig!

Mer information

Välkommen att kontakta Anna via studentsamarbete@jonkopingenergi.se för mer information. På grund av att vi är en samhällskritisk verksamhet kommer du att säkerhetsprövas. Processen för säkerhetsprövningen kan ta upp till 10 veckor, det är därför viktigt att du ansöker i god tid innan din LIA-period börjar.

Vi har återigen vunnit utmärkelsen ”Excellent Arbetsgivare” 2025, där vi ligger i topp i jämförelse med 400 andra företag och 30 andra energibolag. Hos oss får du goda anställningsvillkor, personalförmåner och möjligheter att utvecklas i en trygg men innovativ framtidsbransch.

Vi kraftsamlar och söker passionerade individer med kunskap som är helt avgörande för övergången till fossilfri energi. Genom att investera i olika kompetenser positionerar vi oss för framtiden. Välkommen till oss, där din talang formar framtiden.

En god kraft för ett gott samhälle är vår vision. Vi erbjuder hållbara och innovativa energi- och kommunikationstjänster, nu och i framtiden. Idag förser vi ca 58 000 kunder med ljus, kraft, värme, kyla och fiber.",https://www.linkedin.com/jobs/search/?currentjobid=4191631315&keywords=&location=sweden&start=75
Butiksmedarbetare vikariat Alcro Studio Uppsala,PPG,"Uppsala, Uppsala County, Sweden",2 days ago,1 person clicked apply,"On-site Part-time Entry level
Skills: Training, Sales, +8 more","About the job
Engagerad och ansvarstagande Butikssäljare sökes till 

Alcro Studio Uppsala

Lockas du av att arbeta på ett internationellt företag med välkända produkter såsom Alcro? Söker du ett arbete där din prestation är A och O för företagets fortsatta framgång? PPG Tikkurila, Sveriges största färgtillverkare för konsumenter och industri, söker nu en driven, engagerad och ansvarsfull butikssäljare. Det kan vara just dig vi letar efter då vi ska rekrytera in en kollega till vårt härliga gäng i vår butik i Uppsala.

Tjänsten är deltid ca 50% och ett vikariat till och med 31 augusti 2026 med stora möjligheter till förlängning. Vi utvärderar ansökningar löpande och välkomnar din ansökan redan idag.

Arbetsuppgifter

Som Butikssäljare möter du våra kunder och påverkar dessa att välja våra produkter. I dina arbetsuppgifter ingår bl a försäljning, rådgivning, kassatjänst, hantering av inkommande gods, sammanställa order, exponering och inventering av varor samt färgbrytning. Du kommer också att få arbeta med kampanjer och olika aktiviteter för våra kunder. Arbetet innebär fysiskt arbete där det förekommer tunga lyft.

Du kommer främst att jobba i vår konsumentbutik men också vara behjälplig med våra målerikunder.

Arbetstider konsument

Mån-Fre 06.30-18.00, Lör 10-15

Profil

Vi söker dig som

har dokumenterad erfarenhet av att jobba med försäljning i butik, gärna från fackhandeln
har minst gymnasiekompetens
gärna har färgkunskap
är van datoranvändare
är i god fysisk kondition och har normalt färgseende
goda kunskaper i svenska och engelska

Vi söker dig som vill vara med och ge våra kunder i Uppsala bästa tänkbara service och stödja dem med kvalificerad rådgivning i butiken. Som person är du utåtriktad, ansvarsfull samt har en god social förmåga. Du har en god samarbetsförmåga och lätt för att skapa goda relationer. Du gillar kundmötet samt älskar att sälja!

Kontakt 

Har du frågor om tjänsten är du välkommen att kontakta Mikaela Rasi, Butikschef, på mejl: MRasi@ppg.com.

PPG pay ranges and benefits can vary by location which allows us to compensate employees competitively in different geographic markets. PPG considers several factors in making compensation decisions including, but not limited to, skill sets, experience and training, qualifications and education, licensure and certifications, and other organizational needs. Other incentives may apply.

Our employee benefits programs are designed to support the health and well-being of our employees. Any insurance coverages and benefits will be in accordance with the terms and conditions of the applicable plans and associated governing plan documents.

About Us

Here at PPG we make it happen, and we seek candidates of the highest integrity and professionalism who share our values, with the commitment and drive to strive today to do better than yesterday – everyday.

PPG: WE PROTECT AND BEAUTIFY THE WORLD™

Through leadership in innovation, sustainability and color, PPG helps customers in industrial, transportation, consumer products, and construction markets and aftermarkets to enhance more surfaces in more ways than does any other company.. To learn more, visit www.ppg.com and follow @ PPG on Twitter.

The PPG Way

Every Single Day At PPG

We partner with customers to create mutual value.

We are “One PPG” to the world.

We trust our people every day, in every way.

We make it happen.

We run it like we own it.

We do better today than yesterday – everyday.

PPG provides equal opportunity to all candidates and employees. We offer an opportunity to grow and develop your career in an environment that provides a fulfilling workplace for employees, creates an environment for continuous learning, and embraces the ideas and diversity of others. All qualified applicants will receive consideration for employment without regard to sex, pregnancy, race, color, creed, religion, national origin, age, disability status, marital status, sexual orientation, gender identity or expression. If you need assistance to complete your application due to a disability, please email recruiting@ppg.com.

PPG values your feedback on our recruiting process. We encourage you to visit Glassdoor.com and provide feedback on the process, so that we can do better today than yesterday.

Benefits will be discussed with you by your recruiter during the hiring process.",https://www.linkedin.com/jobs/search/?currentjobid=4279468794&keywords=&location=sweden&start=75
Flistraktorförare,Mondi Group,"Väja, Västernorrland County, Sweden",4 days ago,0 people clicked apply,"On-site Full-time Entry level
Skills: AV, Operations Management, +6 more","About the job
Ditt uppdrag

Vi söker nu en Renserioperatör/Flistraktorförare till vårt renseri där du kommer vara bidragande i de team som producerar och kvalitetssäkrar vårt arbete med att se till att det finns flis till vårt massabruk.
Som operatör hos oss arbetar du med traktorkörning och övervakning, kontroll och styrning av processens olika delar.
Din upplärning kommer att ske enligt vårt utbildningsprogram och tillsammans med erfarna operatörer i ditt team.

Din profil

Du är säkerhetsmedveten, utvecklingsbenägen och engagerad.
Du är pålitlig och ansvarsfull.
Du gillar att arbeta i team och bidra till gruppens välmående och utveckling.
Detta arbete innebär skiftgång med 3 skift och tidvis ensamarbete.
Vi söker dig som har lägst gymnasieutbildning och gärna med erfarenhet från tillverkande industri och erfarenhet med truck/traktorer.
B-Körkort är ett krav.
Ej höjdrädd
Datorerfarenhet
Referenser är önskvärt

Vi erbjuder

Ansvarsfulla arbetsuppgifter där du bidrar till både gruppens och företagets framgång.
Ett arbete i en dynamisk organisation där det lokala interagerar med det internationella.
Ett utvecklande arbete tillsammans med kompetenta kollegor.
Möjlighet att vidareutvecklas inom en rad olika roller och funktioner.
En tillsvidareanställning

Benefits:

Rabatter och andra förmåner för anställda

Kom i kontakt med oss:

Vi strävar efter att skapa en kultur som inspirerar våra medarbetare att nå sin fulla potential. Genom att gå den extra milen – för kollegor och kunder – är våra medarbetare det som driver vår passion för prestation och är den viktigaste ingrediensen i Mondis framgång. Bli en del av vår framtid. Om du behöver mer information kring tjänsten, vänligen kontakta Andreas Gullefors vår Gruppchef för Renseriet, andreas.gullefors@mondigroup.com. Vi arbetar med löpande urval så ansök redan nu eller senast 2025-08-31.

Vill du veta mer om Mondi? Vi är en global ledare inom förpackningar och papper och bidrar till en bättre värld genom innovativa lösningar som är hållbart utformade. Vårt globala team på 24 000 personer arbetar på 100 produktionsanläggningar i mer än 30 länder.

Vår styrka ligger i vår mångfald. Vi är engagerade i att skapa ett team som speglar mångfalden i världen vi verkar i. Vi uppmuntrar ansökningar från traditionellt underrepresenterade grupper, inklusive kvinnor, synliga minoriteter, HBTQI+ -personer och personer med funktionshinder. Även om du inte uppfyller alla angivna kvalifikationer vill vi ändå höra från dig. Vi tror på din potential och är engagerade i att stödja dig i din tillväxt och utveckling hos Mondi. Om du behöver några anpassningar under rekryteringsprocessen, vänligen kontakta personen som anges ovan.

Endast CV som laddas upp på vår online-karriärplattform kommer att beaktas. Med din ansökan kommer du att omdirigeras till vår rekryteringsplattform. Efter att ha skapat ett konto kommer du att få en aktiveringslänk. Om du inte hittar e-postmeddelandet i din inkorg, kontrollera din skräppostmapp eller lägg till adressen no-reply@mondigroup.com till din ""säkra lista"" eller adressbok.

Benefits:

Rabatter och andra förmåner för anställda",https://www.linkedin.com/jobs/search/?currentjobid=4280327111&keywords=&location=sweden&start=75
En positiv vikarie sökes till kvinna i Kristianstad! Refnr:265-2025,Mejdej-Kooperativet,"Kristianstads kommun, Skåne County, Sweden",1 month ago,1 person clicked apply,"On-site Full-time Entry level
Skills: AV, Operations Management, +2 more","About the job
This job is sourced from a job board. Learn More
Hej

Nu söker jag en vikarie som arbeta vid behov!

Jag söker en självgående person som även kan ta egna beslut om det så behövs, du behöver ha tålamod då saker kan ta tid och förståelse att jag kan ha svårt att göra mig förstådd samt att grimaser kan förekomma pga min sjukdom.

Jag behöver hjälp med mitt dagliga liv, så som till exempel påklädning, mediciner, stöttning vid måltider (är kul att hjälpas åt vid matlagning), dusch och inköp i butik.

Jag tar mig fram med hjälp av rullator, och i vissa fall kan det vara jobbigt så då sitter jag i rullstol.

En del dagar i veckan vill jag även få hjälp att träna. Detta kan vara sådant som en promenad ute i naturen med rullator, övningar hemma där jag får stöttning, boxning eller till och med på friskis och svettis.

Jag är även konstnär och har stort intresse av att komma ut till min ateljé på A3, här kan även du ta del i och prova på mitt intresse. Jag brukar ställa ut min konst och då vill jag gärna ha dig vid min sida för stöttning. Vid tillfällen kan det även förekomma att jag vill fiska, utöver detta så tittar jag gärna på filmer eller serier när jag äter något gott innan läggdags.

I hemmet finns en väldigt kelen och lekglad katt, så det är viktigt att du ej är allergisk.

Du ska kunna jobba dag, kväll, natt och helg.

Tycker du att detta låter intressant, tveka inte att skicka in en ansökan.

Ansökan ska innehålla personligt brev, meritförteckning, referenser och eventuella lönekrav. Före erbjudande om anställning skall utdrag ur polisens belastningsregister uppvisas. Skicka in din ansökan till jobbansokan@mejdej.se och ange refnr: 265-2025

Rekrytering sker löpande under ansökningstiden.",https://www.linkedin.com/jobs/search/?currentjobid=4265078501&keywords=&location=sweden&start=75
Senior Graphic Artist,EyeSpy Recruitment - iGaming Specialists,European Union,1 day ago,Over 100 applicants,"Remote Full-time Mid-Senior level
Skills: Game Development, Animation, +7 more",About the job,https://www.linkedin.com/jobs/search/?currentjobid=4282189516&keywords=&location=sweden&start=75
