title,company,location,posted_before,application_number,detail,description,url
"Taxiförare sökes Bolt, Vinka & Uber",VINKA,"Malmo, Skåne County, Sweden",1 week ago,5 people clicked apply,N/A,"About the job
This job is sourced from a job board. Learn More
Tjäna över 30.000kr/Mån!

Har du taxilegitimation och vill jobba som taxiförare samt vill välja dina egna arbetstider, bor du i Malmö eller Helsingborg så är detta ett jobb för dig!

Provisionsbaserad månadslön 45% på inkört belopp

Dag/kväll: 05-17 eller 17-05

Mejla din ansökan till: Vinkataxi@gmail.com

Öppen för alla Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.",https://www.linkedin.com/jobs/search/?currentJobId=4273054694&keywords=&location=Sweden&start=0
Människorättsaktivist – Ideellt engagemang för Iran (Distans),Setadepad sweden,Sweden,2 weeks ago,9 applicants,N/A,"About the job
Vi söker engagerade volontärer som vill vara en del av kampen för mänskliga rättigheter i Iran.
Genom fredlig aktivism, informationsspridning och digital påverkan arbetar vi för att ge röst åt de oskyldiga som fängslats, torterats och tystats av den islamiska regimen.

. Ditt uppdrag kan inkludera:
– Sprida information på sociala medier
– Stötta internationella kampanjer
– Kontakta organisationer för mänskliga rättigheter
– Hjälpa till med översättning eller innehållsskapande

🌍 Distansarbete – du bestämmer själv hur mycket tid du vill bidra med.

Tillsammans lyfter vi rösten för dem som inte längre kan tala.
 
English 

We are looking for committed volunteers to join the peaceful struggle for human rights in Iran.
Through non-violent activism, information sharing and digital advocacy, we aim to be the voice of those who have been imprisoned, tortured and silenced by the Islamic regime.

. Your tasks may include:
– Sharing information on social media
– Supporting international campaigns
– Contacting human rights organizations
– Assisting with translation or content creation

🌍 Remote work – you decide how much time you want to contribute.

Together, we raise our voices for those who can no longer speak.",https://www.linkedin.com/jobs/search/?currentJobId=4268005782&keywords=&location=Sweden&start=0
Receptionist för hotellreceptionen,Varbergs Stadshotell & Asia Spa,"Gävleborg County, Sweden",1 week ago,2 people clicked apply,N/A,"About the job
Varbergs Stadshotell & Asia Spa är ett hotell med många upplevelser och ett spännande asiatiskt spa. Här blandas stämningsfull sekelskiftesatmosfär med tusenåriga influenser från österlandet. Vi har totalt 178 hotellrum varav 66 av dessa är Boutique-rum, alla inredda med en unik touch och med individuell inredning. Stor restaurangverksamhet bland annat a la carte restaurang, flera barer, bistro med mera. Vi har även 20 konferenslokaler, en egen hörsal och en magnifik festvåning. Varbergs Stadshotell & Asia Spa är en del av Lotus Hotel Group, en hotellgrupp med målet att skapa fantastiska upplevelser för gäster. Tillsammans skapar vi resmål av högsta kvalité där passion och yrkesstolthet råder. På våra hotell finner du unika rum för avkoppling, god mat och dryck, evenemang, konferens och spännande möten.

Vi söker nu kollega till vårt fantastiska team i hotellreceptionen för tillsvidareanställning.

Om tjänsten

Arbetet som hotellreceptionist handlar i första hand om att välkomna och ge våra gäster den bästa service. Arbetsuppgifterna är mycket omväxlande och består bland annat av att checka in/ut gäster, kassahantering, bokning, administrativt planeringsarbete och säkerhetsarbete. Du är även behjälplig i vår lobbybar samt ett antal andra varierande uppgifter. Hotellreceptionen är hjärtat i vår anläggning och du kommer att ha mycket god insikt i våra olika avdelningar.

Om dig

Du har flera års erfarenhet av arbete som hotellreceptionist och det är meriterande om du arbetat med andra arbetsuppgifter på hotell och/eller annan servicebransch. Du brinner för mötet med människor och älskar att ge service.

Vidare har du god datorvana och är bekant med hotellbokningssystem. Du är noggrann, strukturerad och behärskar engelska i tal och skrift. Arbetet är mycket omväxlande både i rutiner och tider då arbetstiderna är förlagda både dagtid och kvällar.

Förmåner

Som anställd på Varbergs Stadshotell & Asia Spa får du en rad förmåner exempelvis i form av friskvårdsbidrag, rabatter och tillgång till gym och spa i mån av plats med mera. Du får arbeta i en inspirerande miljö och har en trygg anställning då företaget är anslutet till Visita och har kollektivavtal med HRF.

LOTUS HOTEL GROUP

Varbergs Stadshotell & Asia Spa är en del av Lotus Hotel Group – en hotellfamilj där vi skapar fantastiska upplevelser för våra gäster. Våra hotell bjuder på fyra unika destinationer – Varbergs Stadshotell & Asia Spa, Arken Hotel & Art Garden Spa, Hôtel Eggers & Billingehus – men gemensamt är vår passion. Vi brinner för att skapa upplevelser utöver det vanliga och att få gästen att längta till nästa gång. Vi verkar i lokalt starka, historiska och spännande miljöer. Här finner du miljöer för avkoppling, god mat och dryck, evenemang, konferens och spännande möten – platser där vardagen alltid känns avlägsen.

Genom vårt eget gästserviceprogram Proud with Passion, arbetar vi med passion och yrkesstolthet för att tillsammans leverera bästa kvalité. Vi är även stolta över att vi inspirerar, tar ansvar och aktivt bidrar till ett hållbart och bättre samhälle. Bland annat genom att årligen utmana oss själva med ökade hållbarhetskrav, Svanen-märkningar och egna vindkraftsverk.

Anställningsform: tillsvidareanställning | Anställningens omfattning: deltid | Antal lediga befattningar: 1 | Sysselsättningsgrad: 70% | Ort: Varberg | Län: Hallands län | Land: Sweden | Referensnummer: 2025/48 | Kontakt: Angelica Strömqvist 0340690159, | Publicerat: 2025-07-31 | Sista ansökningsdag: 2025-08-31",https://www.linkedin.com/jobs/search/?currentJobId=4274212472&keywords=&location=Sweden&start=0
Rådgivare till Sparbanken Alingsås - Vårgårdakontoret,Sparbanken Allingsås,"Vårgårda, Västra Götaland County, Sweden",3 days ago,2 people clicked apply,N/A,"About the job
Nu söker vi en vikarierande Rådgivare till Vårgårdakontoret med inriktning på både

privat- och företagskunder.

Vi söker dig som brinner för att hjälpa människor till en sund och hållbar ekonomi och att skapa en ekonomisk trygghet i vardagen för våra kunder. Vi vill gärna att du börjar så snart som möjligt och vikariatet sträcker sig till 31 augusti 2026.

Vi satsar på din personliga utveckling och erbjuder möjlighet till ett stort engagemang på arbetsplatsen genom till exempel friskvårdsgrupp och kundaktiviteter. Vi har mycket nöjda medarbetare vilket vi är otroligt stolta och glada över. Vi ser att du är en lagspelare som kommer att jobba i ett starkt och stöttande team.

Hos oss arbetar personer med olika bakgrund, erfarenhet och i alla åldrar som har ett stort samhällsengagemang och som vill förverkliga sparbanksidén.

Rollen innebär att du

har en hög servicenivå i alla kundmöten. 
hanterar enklare företags- och privatärenden. 
håller dig uppdaterad om den digitala utvecklingen och kan på ett pedagogiskt sätt beskriva hur de digitala tjänsterna används. Bidrar aktivt till att kunderna når en optimal digitaliseringsgrad. 
deltar i kundträffar och event. 


Vi ser gärna att du har högskoleutbildning inom ekonomi. Har du tidigare erfarenhet av sälj, kundservice och/eller bank är det meriterande.

Vi ser fram emot din ansökan!

Anställningsform: tidsbegränsad anställning | Anställningens omfattning: heltid | Antal lediga befattningar: 1 | Sysselsättningsgrad: 100 % | Ort: Vårgårda | Län: Västra Götalands län | Land: Sweden | Referensnummer: 2025/17 | Kontakt: Benjamin Bolin Kontorschef 0322-666891benjamin.bolin@sparbankenalingsas.se, Emeli Ryman, HR Partner 0322-78701emeli.ryman@sparbankenalingsas.se, | Facklig företrädare: Oscar Molneryd, Finansförbundet 0322-666884oscar.molneryd@sparbankenalingsas.se, | Publicerat: 2025-08-06 | Sista ansökningsdag: 2025-08-27",https://www.linkedin.com/jobs/search/?currentJobId=4280768109&keywords=&location=Sweden&start=0
Examensarbete inom klimatanpassning och social hållbarhet,AFRY,"Stockholm, Stockholm County, Sweden",Reposted 11 hours ago,51 people clicked apply,N/A,"About the job
Företagsbeskrivning

AFRY erbjuder tjänster inom teknik, design, digitalisering och rådgivning. Vi är hängivna experter inom industri, energi- och infrastruktur, som skapar värde för kommande generationer. AFRY har en global räckvidd med djupa rötter i Norden. Tillsammans accelererar vi omställningen till ett mer hållbart samhälle.

Jobbeskrivning

Är du intresserad av att utforska hur framtidens samhällen kan bli mer motståndskraftiga mot klimatförändringar samtidigt som klimaträttvisa säkerställs? Vi på AFRY söker studenter som skriver sitt examensarbete och som vill bidra till framtidens lösningar inom social hållbarhet och klimatanpassning.

Hos oss får du möjlighet att få insikt och kunskap inom aktuella utmaningar i gränslandet mellan samhällsplanering, klimat och social hållbarhet. Vi är öppna för egna idéer och formar gärna examensarbetet tillsammans med dig utifrån dina intressen och vår verksamhet.

Kvalifikationer

Vi söker dig som:

Studerar på masternivå inom samhällsplanering, miljövetenskap, hållbar utveckling eller liknande, och skriver sitt examensarbete på svenska eller engelska 
Har ett intresse för sociala frågor, klimatfrågor och systemförändring 
Vill göra skillnad genom forskning och analys i praktiken 


Start: Enligt överenskommelse, gärna höstterminen 2025

Plats: Vi som kommer handleda dig sitter i Stockholm och Göteborg. Hybridlösningar är möjligt.

Ytterligare information

Vi erbjuder:

Ett sammanhang där kunskap tillämpas i praktiken och med specialister inom klimatanpassning, riskhantering, samhällsplanering och social hållbarhet 
Kontorsplats, om så önskas 
Kontakter till kommande arbetsliv


Arbetsspråk är svenska eller engelska. Låter det intressant? Skriv till oss med en kort presentation av dig själv och vad du studerar samt skulle vara intresserad att skriva om, så tar vi det därifrån.

Välkommen att visa ditt intresse, gärna innan 2025-09-15

Vi ber om överseende, på grund av semestertider så kan återkoppling dröja något.

Kontaktperson för frågor:

Jennie Björstad, Social Hållbarhetstrateg

jennie.bjorstad@afry.com

På AFRY driver vi förändring i allt vi gör. Vi anser att förändring sker när modiga idéer möts, när vi samarbetar, skapar innovation och omfamnar kreativa lösningar, det är så vi skapar framtiden. Vi söker konstant kvalificerade kandidater som vill ansluta sig till våra inkluderande team runt om i världen. Bli en del av oss och påskynda den gröna omställningen",https://www.linkedin.com/jobs/search/?currentJobId=4258215236&keywords=&location=Sweden&start=0
Design Assistant,J.LINDEBERG,"Stockholm, Stockholm County, Sweden",Reposted 1 week ago,Over 100 people clicked apply,N/A,"About the job
We are looking for two creative Design Assistants to support across key product categories and concepts in the beginning of your career who is interested of working with a global lifestyle brand in a learning environment. As a Design Assistant at J.Lindeberg, you provide focused creative and operational support to the Designers for Men’s and Women’s across the brand’s most strategically important categories such as Outerwear, Jersey, Knits and Accessories. You play a key role in enabling creative excellence by handling essential design tasks and coordination, ensuring processes run smoothly and allowing the Designers to focus on storytelling, innovation, and product leadership. This is a hands-on, detail-oriented role with exposure to the full design lifecycle, ideal for someone organized, curious, and passionate about the intersection of performance and fashion. The role also requires strong coordination skills, cross-functional collaboration, and support in driving PLM accuracy and milestone readiness. Operational reporting on daily activities is made to Senior Designer/Designer, overall reporting line is to the Head of Design.

Areas of Responsibility

Tech Pack Support: Help prepare and update tech packs based on direction from the Senior Designer/Designer.
3D Modeling & File Cleanup: Assist with base modeling, style clean-up, and repetitive tasks in 3D workflows.
Color-Ups & Variations: Apply seasonal colorways and variations to existing designs.
Research: Conduct seasonal trend, fabric, and market research to support design development.
Line Sheet Management: Keep internal line sheets and collection overviews up to date throughout the season.
Sample Tracking: Coordinate and track sample development and deliveries in collaboration with Production and Development teams.
Meeting Recaps & Follow-Ups: Take notes during fittings and design meetings, assist with documentation and next steps.
Design Admin & Coordination: Organize assets, maintain file hygiene, and support communication across teams and tools.
PLM Maintenance: Ensure timely and accurate updates of all product data in the PLM system throughout the design process.
Milestone Support: Help ensure design assets and documentation are prepared and delivered on time for all key calendar meetings and deadlines.
Cross-Functional Collaboration: Communicate clearly and reliably with Product Development and Merchandising to ensure alignment across design needs and seasonal timelines.

You should have a Bachelor’s degree in fashion or related field and if you have an interest in Active wear, Golf wear and or RTW you would fit right in. To be successful in this role you need to be proficient in Illustrator and Photoshop and have a thorough understanding in colour. You will be working with colleagues on all levels so you need to appreciate collaboration and have a team oriented approach.

We are despite our size a very entrepreneurial company, so you should enjoy working in a very dynamic and flexible environment and be able to think on your feet.

You will be offered the possibility to work with a global lifestyle brand in a learning environment where you will get the opportunity to grow.

Qualifications

Bachelor’s degree in Fashion, Graphic Design or similar/related field
Proficient in Illustrator, Photoshop, PLM, CLO 3D
Strong eye for layout, color, typography, and attention to detail
Ability to manage multiple projects and meet deadlines in a dynamic environment.
Excellent communication and collaboration skills.
Knowledge of design principles and current trends in digital and print media.
Fluent in English

Founded in Stockholm 1996, J.Lindeberg inspires unconventional thinkers to live life to the fullest. The international fashion house bridges fashion and sport, offering sophisticated, edgy and comfortable products for a modern active lifestyle. The collections bring together creativity and Scandinavian progressiveness – for innovative fashion and outdoor lifestyle wear that is sustainable and delivered through a customer-focused, seamless experience.

With headquarters in Stockholm, Sweden, the distribution covers more than 35 countries. There are 157 J.Lindeberg stores in several of the major fashion capitals of the world, such as Copenhagen, New York, Tokyo, Hong Kong and Shanghai. The wholesale distribution features close to 2000 stores, including the leading high-end department and specialty stores around the world.",https://www.linkedin.com/jobs/search/?currentJobId=4251646284&keywords=&location=Sweden&start=0
Leader Transport Malmö,HAVI,"Malmo, Skåne County, Sweden",1 week ago,32 people clicked apply,N/A,"About the job
Full/Part-time: Full time

Job Category: Transport

City:

Bli vår nya Transportledare

Location: Malmö, Sweden

Type: Heltid, tillsvidare

Workplace: På plats

På HAVI tror vi på att rekrytera människor – inte bara CV:n. Om du gillar att leda, ta ansvar och bidra till utveckling – då kan detta vara ditt nästa steg.

Vi söker nu en Transportledare till vårt team i Malmö. I den här rollen kombinerar du det operativa ansvaret för den dagliga driften med tydligt ledarskap och viljan att bidra till vårt nationella planeringssystem. Du coachar ett team på cirka 12-14 chaufförer och samarbetar tätt med kollegor inom hela logistikverksamheten.

Om rollen

Du blir en del av ett erfaret team och arbetar nära planering, kundservice och lager. Tillsammans ser ni till att våra transporter fungerar – varje dag. Du bidrar också till utvecklingen av våra arbetssätt i nära samarbete med övriga distributionscentraler.

Rollen kräver att du trivs med ansvar, har god överblick – och är en ledare som andra känner sig trygga med.

Dina ansvarsområden:

Operativt ansvar för lokal transportavdelning
Personalansvar för ca 12-14 chaufförer inkl. schema, uppföljning och samtal
Tätt samarbete med andra transportledare och logistikteam
Utveckling av våra arbetssätt tillsammans med kollegor i våra övriga DC.
Uppföljning av nyckeltal och förbättringsarbete
Säkerställa att lagar, regler och riktlinjer följs

Vi tror att du:

Har erfarenhet av transportledning eller logistik
Är en trygg ledare med god kommunikationsförmåga
Trivs i team men driver gärna självständigt
Har god systemvana – Paragon eller liknande är meriterande
Du talar och skriver svenska obehindrat och behärskar engelska i både tal och skrift

“Vi letar efter någon som både gillar att få saker att hända – och att få människor att växa.

Rollen kräver både struktur och lyhördhet, men framför allt en vilja att leda i vardagen och göra skillnad på riktigt.”

—  Thomas Hindberg, DC Manager Operation Malmö

Därför kommer du trivas hos oss:

En viktig roll i en verksamhet med högt tempo och stort engagemang
Möjlighet att påverka arbetssätt och utveckla andra
Ett team med stark sammanhållning
Kollektivavtal och goda anställningsvillkor

Vi går igenom ansökningar löpande, så vänta inte för länge om detta låter som rätt roll för dig.

Vänligen skicka in din ansökan, inklusive CV och ett kort personligt brev. Vi tar inte emot ansökningar via e-post.

Om du har några frågor om tjänsten är du välkommen att kontakta rekryterande chef Thomas Hindberg på thomas.hindberg@havi.com.

Om HAVI

HAVI är ett globalt, privatägt företag som fokuserar på att utveckla, optimera och hantera leveranskedjor åt ledande varumärken. I Sverige har HAVI cirka 220 medarbetare och vår verksamhet omfattar både logistik och huvudkontor i Tumba. Vi arbetar med välkända kunder som McDonald’s, Espresso House, Pizza Hut och Subway och levererar pålitliga, effektiva och hållbara lösningar inom supply chain. På HAVI kombinerar vi globala styrkor med en stark lokal närvaro – och vi glömmer aldrig att det är våra medarbetare som är nyckeln till allt vi gör.

Keywords: Transportledning, logistik, chaufförsansvar, Paragon, planering, schemaläggning, ledarskap, operativ drift, förbättringsarbete, supply chain, transportkoordinator, distribution, fleet management",https://www.linkedin.com/jobs/search/?currentJobId=4273201361&keywords=&location=Sweden&start=0
Vi söker nu Produktionsstöd till X2000!,EuroMaint Rail AB,"Gothenburg, Västra Götaland County, Sweden",2 weeks ago,8 people clicked apply,N/A,"About the job
Våra värderingar 

Professionalism – Vi strävar efter hög kvalitet, innovation och resultat.

Förtroende – Vi arbetar med ärlighet, integritet och laganda.

Hållbarhet – Vi tar ansvar för människor, miljö och framtid.

Om Euromaint

Euromaint erbjuder kvalificerat tekniskt underhåll som tillgodoser kundernas behov av väl fungerande fordonsflottor. Vi har ett nät av verkstäder från Luleå i norr till Malmö i söder. Hos oss arbetar många av Sveriges främsta specialister inom underhåll av järnvägsfordon. Euromaint har en omsättning på ca 1 500 MSEK och cirka 1000 medarbetare (2021). Euromaint ägs av den börsnoterade spanska tågtillverkaren CAF sedan juli 2019.

Vill du bli en nyckelperson i underhållet av Sveriges mest ikoniska snabbtåg – SJ:s X2000? Är du strukturerad, lösningsorienterad och trivs i en koordinerande roll där både teknik och människor står i fokus? Då är det här din nästa utmaning.

På vår anläggning i Olskroken, Göteborg, söker vi nu dig som vill bidra till att våra snabbtåg rullar tryggt, punktligt och med hög teknisk kvalitet – varje dag.

Om rollen

Som Produktionsstöd är du navet i vår dagliga verksamhet. Du arbetar nära servicetekniker, planerare, lagerpersonal och kund – och säkerställer att underhållsarbetet sker effektivt och enligt plan.

Rollen kombinerar både operativa och strategiska arbetsuppgifter. Ena dagen leder du planeringsmöten, andra dagen följer du upp serviceorder eller beställer material. Oavsett uppgift är ditt mål detsamma: att bidra till ett välfungerande, kvalitetssäkrat underhåll av X2000.

Exempel På Arbetsuppgifter

Planera och fördela dagliga uppgifter till tekniker
Följa upp serviceorder och säkerställa korrekt dokumentation
Kontrollera behörighet och resurstillgång för teknikpersonal
Utföra slutkontroller av fordon inför frisläpp
Ansvara för materialbeställningar kopplade till underhållsorder
Delta i kundmöten och föreslå tekniska förbättringsåtgärder
Vara kontaktperson mot både leverantörer och interna funktioner
Driva och delta i förbättringsarbete enligt Lean-principer

Vem är du?

Vi söker dig som har ett strukturerat arbetssätt, ett starkt tekniskt intresse och förmåga att se helheten i en komplex produktionsmiljö. Du är kommunikativ, tar egna initiativ och trivs med att samarbeta över olika funktioner.

Vi Tror Att Du Har

Gymnasieutbildning med teknisk inriktning
Eftergymnasial utbildning (YH/KY eller liknande) inom teknik, produktion eller logistik
Minst 3–4 års erfarenhet från verkstad, produktion eller underhållsarbete
Tidigare erfarenhet av planering, arbetsledning eller samordning
God systemvana, särskilt inom affärssystem och serviceorderhantering
Erfarenhet av förbättringsarbete enligt Lean-principer

Meriterande

Truckkort eller annan intern behörighet
Erfarenhet från järnvägsbranschen eller liknande teknisk industri

Vad vi erbjuder

En ansvarsfull roll i en högteknologisk miljö
Kollegor med hög kompetens och stort engagemang
Möjligheter till kontinuerlig utveckling och utbildning
En arbetskultur där förbättringsarbete och samarbete står i centrum
Trygga anställningsvillkor enligt kollektivavtal

Övrig information

Anställningsform: Heltid, med provanställning
Placeringsort: Olskroken, Göteborg
Bakgrunds- och ID-kontroll genomförs inför anställning",https://www.linkedin.com/jobs/search/?currentJobId=4268545243&keywords=&location=Sweden&start=0
Hemstäd 2 dagar i veckan i Örebro!,AB FAGERS HEMSERVICE,"Örebro, Örebro County, Sweden",3 days ago,0 people clicked apply,N/A,"About the job
This job is sourced from a job board. Learn More
Vi söker dig som har viljan och kan städa! 

Du är enkel, pålitlig, rökfri, välvårdad, serviceinriktad och talar flytande svenska.

De flesta av våra kunder bor i centrala Örebro, så bra är om du själv bor i Örebro, och har erfarenhet av hemstäd.

Arbetet gäller två dagar i veckan, endast vardagar, dagtid.

Om det ovanstående stämmer in på dig så har du god chans att få ett mycket fritt och trivsamt arbete.

Skriv lite om dig själv och varför vi ska anställa just dig och krav är att du medsänder ett foto på dig själv!

Mejla ansökan till yf@telia.com

Tillträde omgående!

#jobbjustnu",https://www.linkedin.com/jobs/search/?currentJobId=4281142559&keywords=&location=Sweden&start=0
"Greeter Hubhult, Ingka AB",IKEA,"Malmo, Skåne County, Sweden",4 days ago,50 people clicked apply,N/A,"About the job

SER DIN JOBB-ÖNSKELISTA UT SÅ HÄR? 

• Få ge vår kund bästa möjliga service och support 
• Arbeta och lösa uppgifterna tillsammans som ett team 
• Jobba i en miljö där ingen dag är den andra lik och du får frihet under ansvar 
• Möjlighet att växa i ditt uppdrag 

Härligt, då har jag goda nyheter! 

Mitt namn är Jeanette Sällström och jag är Team leader på Ingka AB. Jag söker nu en kollega till receptionen på Hubhult. Vi är ett team på fyra personer som arbetar tillsammans för att supportera verksamheten. 

Hos oss får du möjlighet att arbeta med din passion för service och support tillsammans med härliga kollegor i en utvecklande miljö. Vi är ett team som stöttar och utmanar varandra att utvecklas. 

 
VÅR ÖNSKELISTA 
Jag och mina kollegor har såklart också några önskemål: 

• Du är öppen, social och service minded 
• Du är proaktiv och flexibel i ditt arbetssätt 
• Du trivs med att ha många varierande uppgifter på gång samtidigt 
• Relevant utbildning inom kundservice/erfarenhet av reception eller motsvarande
• Goda kunskaper i svenska och engelska, både i tal och i skrift. Du kan delge information på ett korrekt sätt med ett leende på läpparna 
• God datorvana i olika IT-system, främst Outlook kalendern och Teams 

Eftersom du kommer att jobba i ett team tror vi att du är en duktig relationsbyggare som gärna delar med dig av kunskap och samarbetar med andra, så väl kollegor som besökare. Du är van vid att arbeta mot deadlines och har förmågan att prioritera och planera ditt arbete. Du är initiativtagande, ser möjligheter och tycker om förändringar. 

Men viktigast av allt, du delar våra värderingar och visar det i vardagen genom ditt sätt att vara. 

 
EN DAG I LIVET MED OSS! 
Tillsammans med övriga i teamet kommer du att ge support för att kollegor och besökare skall få en bättre arbetsdag. 
Dina huvudsakliga arbetsuppgifter är: 

• Vara första kontakten på Hubhult och ge ett varmt välkomnande 
• Supportera registrering av besökare och säkerställa säkerhetskraven vid inpassering 
• Svara på och hantera önskemål via ärendehanteringssystemet 
• Hantera ID-kort, låna ut kontorsmaterial, göra blombeställningar och hjälpa till att boka mötesrum 
• Samarbeta med övriga support-funktioner 
• Facilitera onboarding för nya medarbetare 
• Vara en del av det interna räddningsteamet och följa rutiner inom Safety and Security 

 Inom Workplace Operations strävar vi alltid efter att bli lite bättre och hitta nya smartare sätt att genomföra våra uppgifter, därför ser vi att du som person gillar utmaningar och drivs av att identifiera och genomföra förbättringar. 

 
VÅRT TEAM PÅ IKEA 
Ingka AB är ett servicebolag som levererar tjänster och kompetens inom HR, Finance, Legal, Workplace och Real Estate till andra IKEA bolag. På så sätt kan de fokusera på sin kärnverksamhet. Och tillsammans bidrar vi till att skapa en bättre vardag för de många människorna! 

 
FRÅGOR OM TJÄNSTEN? – LÅT OSS KNYTA KONTAKT! 

Tjänsten vi erbjuder är en tillsvidare heltidsanställning med provanställning sex månader. 
Startdatum snarast eller enligt överenskommelse. 

Arbetstiden är dagtid, måndag-fredag med placeringsort Malmö. 

Har du frågor om tjänsten är du välkommen att kontakta Team Leader Jeanette Sällström, jeanette.sallstrom@ingka.ikea.com 

Har du frågor om rekryteringsprocessen kontakta rekryterare Rina Cindrak, Rina.cindrak@ingka.ikea.com 

För att följa de grundläggande principerna inom GDPR ber vi er vänligen att inte skicka in ansökningar via mail. Ansökningar bör ske endast via IKEAs hemsida. 



Vi ser fram emot din ansökan!",https://www.linkedin.com/jobs/search/?currentJobId=4280133750&keywords=&location=Sweden&start=0
Arbetsledare skiduthyrning,BRANÄS FRITIDSCENTER AB,"Torsby, Värmland County, Sweden",5 days ago,0 people clicked apply,N/A,"About the job
This job is sourced from a job board. Learn More
Upptäck allt det fantastiska en vintersäsong i Branäs har att erbjuda! På Sveriges fjärde största skidanläggning söker vi nu nya kollegor till vintersäsongen. Här väntar en spännande och händelserik arbetsplats med skidåkning i toppklass och en idyllisk vintermiljö precis utanför dörren. Skapa minnen för livet – sök vinterns roligaste jobb i Branäs nu! 

Om avdelningen

I Branäs har vi två skiduthyrningar som är placerade i Branäs By och Branäs Berg. Vi jobbar med onlinebokning där våra gäster förbokar och sedan kommer till oss och hämtar produkterna färdigjusterade. I skiduthyrningen ingår också logistikavdelningen.

Om rollen

På avdelningen arbetar du i ett stort team där du är den närmsta kontakten för medarbetarna. En viktig del av din roll är att kunna motivera, engagera och ge feedback till dina kollegor. I din roll ser du till att gästens möte med oss alltid motsvarar våra mål gällande rutiner, arbetsflöden, effektivitet och service.

Urval av arbetsuppgifter

Motivera och leda arbetsgruppen
Arbete i daglig verksamhet
Förvaltning av timmar och schema 

Vi erbjuder…

En inspirerande arbetsplats med en härlig sammanhållning där du får chansen att uppleva en vinter som du sent kommer att glömma.

Säsongsboende 
Gratis säsongsliftkort
Gratis säsongshyra av skidutrustning på nybörjarnivå
Rabatt på boende för familj och vänner 
Förmånliga priser i skiduthyrning, butiker & restauranger. 

Vi söker dig som är…

Älskar att jobba med människor 
Serviceinriktad
Vana att jobba i högt tempo
Flexibel
Strukturerad
Intresse för skidåkning 

Att du är glad, positiv och serviceinriktad ser vi som en självklarhet. I Branäs tror vi att glada medarbetare leder till glada gäster.

Krav

Bekväm med både engelska och svenska språket 
B-körkort 

Meriterande

Erfarenhet av ledarroll 
Erfarenhet av serviceyrke
Bokningsystem- & Kassavana
Arbete i skiduthyrning
Tillgång till bil

Ansök

Detta är en säsongsanställning mellan december och april och tjänsten går under HRF:s kollektivavtal. Sista ansökningsdag är den 1 september, men urval sker löpande så skicka gärna in din ansökan redan idag. Har du frågor? Kontakta Skiduthyrningschef, Oliver Skullman, oliver.skullman@branas.se",https://www.linkedin.com/jobs/search/?currentJobId=4280013133&keywords=&location=Sweden&start=0
