title,company,location,posted_before,application_number,detail,description,url
IT-tekniker,Söderhamn Nära AB,"Söderhamn, Gävleborg County, Sweden",1 week ago,3 people clicked apply,"Full-time Associate
Skills: Troubleshooting, Technical Support, +8 more","About the job
Söderhamn Nära AB, med dotterbolaget Söderhamn Elnät AB, är ett kommunägt infrastrukturbolag. Vi är i dagsläget cirka 125 medarbetare och arbetar med verksamhet som omfattar kraftvärme, renhållning, elnät, stadsnät, IT-drift samt vatten och avlopp. Verksamheterna drivs i en gemensam organisation för att skapa samordningsfördelar och affärsnytta för ägare, kunder samt kommuninvånare.

Är du en engagerad och erfaren IT-tekniker som brinner för datacenter, säkerhet och nätverk?

Vi på Söderhamn Nära söker nu en IT-tekniker som vill vara med och driva vår IT-infrastruktur för Söderhamns kommunkoncern framåt. I denna roll får du möjlighet att arbeta med både förvaltning, utveckling och säkerheten av våra system.

Hos oss får du chansen att växa och utvecklas i en stimulerande arbetsmiljö. Vi är ett företag som värdesätter våra medarbetare och deras utveckling, och vi erbjuder kontinuerligt lärande och möjligheter att ta del av spännande projekt. Om du är en driven IT-tekniker som vill vara en del av vårt framgångsrika team, tveka inte att söka.

Beskrivning

Som IT-tekniker hos Söderhamn Nära är du med och ansvarar för att vår IT-infrastruktur – ofta affärskritisk – är robust, säker och effektiv. Du jobbar nära och tillsammans med både interna team och externa partners för att säkerställa att våra system lever upp till krav på tillgänglighet, prestanda och säkerhet.

Rollen innebär en mix av operativ drift, strategisk utveckling, felsökning och förbättringsarbete. Du blir en del av ett kunnigt infrastrukturteam där vi tillsammans arbetar med datacenter, backup, brandväggar, Windows Server och säkerhet – Till övervägande del i virtuella miljöer och hybridlösningar.

Arbetsuppgifter

 Drift, underhåll och optimering av datacenter
 Underhåll av backup-lösningar
 Konfiguration och övervakning av brandväggar för att skydda vår verksamhet
 Säkerhets- och rättighetsadministration, samt skydd av data och resurser
 Installation, uppgradering och patchning av operativsystem och mjukvara
 Delta i utvecklingsprojekt kring säkerhet och systemförbättringar
 Automatisering och förbättring av processer kring IT-drift
 Dokumentation av rutiner, system och förändringar


Kvalifikationer

Du har en god erfarenhet inom datacenter, backup, brandväggar, Windows Server och säkerhetsarbete. Är nyfiken, proaktiv och alltid strävar efter att förbättra dina färdigheter. Har god problemlösningsförmåga och ett analytiskt tänkande. Du är van att arbeta både självständigt och i team. Kommunicerar obehindrat på svenska och engelska. Urval kan komma att göras under ansökningstiden.

Vi lägger stor vikt vid dina personliga egenskaper.

Beredskapstjänstgöring kan komma att ingå i tjänsten, och du kan komma att säkerhetsprövas, registerkontrolleras och inplaceras i säkerhetsklass.

Utvecklingsmöjligheter Söderhamn Nära är en lärande organisation, där vi arbetar med ständig utveckling för att skapa ett hållbart samhälle. På Söderhamn Nära behövs kunskap inom många olika områden. Som medarbetare får du utveckla din kompetens för att du ska kunna utföra arbetet i dag och i framtiden. Anställda på Söderhamn Nära erbjuds både grundläggande, lagstadgade och obligatoriska utbildningar.

Anställningsform: tillsvidareanställning | Anställningens omfattning: heltid | Antal lediga befattningar: 1 | Sysselsättningsgrad: 100% | Ort: Söderhamn | Län: Gävleborgs län | Land: Sweden | Referensnummer: 2025/5 | Kontakt: Per Glindås 027076698, | Publicerat: 2025-07-28 | Sista ansökningsdag: 2025-08-17",https://www.linkedin.com/jobs/search/?currentJobId=4270895437&keywords=&location=Sweden&start=200
Vill du vara vikarie på förskolan Kyrktuppen?,Svenska kyrkan,"Jönköping, Jönköping County, Sweden",14 hours ago,0 people clicked apply,"Part-time
Skills: Operations Management, AV, +4 more","About the job
Vi har ett vikariat ledigt på 50% från september och året ut. Vid behov kan det bli mer än 50%. Det kan också bli aktuellt med förlängning.

Vilka är då vi?

Hos oss arbetar vi medvetet för att barnen ska utvecklas till trygga, harmoniska och hänsynsfulla människor. De ska känna trygghet med varandra och omgivningen samt lära sig ta ansvar för sig själva och sina medmänniskor.

Arbetet bygger på kristna värderingar med Bibeln som grund.

Arbetet genomsyras av våra värdeord kärlek, respekt och stödjande förhållningssätt, och ledorden är trygghet och bemötande.

Vi söker dig som är barnskötare eller förskollärare och vill arbeta 50% på vår småbarnsavdelning. Vi vill att du har ett gott bemötande och en medvetenhet om hur du påverkar din omgivning. Ansvarskänsla och engagemang för arbetet ser vi som en självklarhet.

Arbetsuppgifter och ansvar:

Du förväntas vara delaktig i genomförandet av det som sker i utbildningen. Vilket innebär att du tillsammans med arbetslaget ansvarar för att barnen får en god och trygg vistelse på förskolan.

Ge barnen förutsättningar för att utvecklas till trygga, harmoniska och hänsynsfulla människor.

Önskvärt är att du har någon form av erfarenhet från att ha arbetat med barn. Du behöver ha goda kunskaper i svenska, både i tal och skrift.

Före eventuell anställning måste du lämna ett utdrag ur belastningsregistret.

Vi förutsätter att du delar Svenska kyrkans tro och värderingar.

Vid frågor och intresseanmälan kontakta rektor Anna Knutsson.

Telefon 036-31 35 20 eller via mail anna.knutsson2@svenskakyrkan.se

Välkommen med din ansökan senast den 25 augusti 2025. Vi tillämpar löpande urval under ansökningstiden.

Om oss: Svenska kyrkan Jönköping, i Växjö stift, är en dynamisk och växande församling som speglar stadens utveckling och förändring. Med en årlig befolkningstillväxt på nästan 2000 invånare och en kommun som på sikt siktar på att nå 200 000 invånare, är vår församling i ständig rörelse. Denna utveckling påverkar inte bara våra invånare utan även näringsliv, föreningsliv och den kristna församlingens roll i staden. Vi verkar i en kontext där våra tio kyrkor är organiserade i tre geografiska församlingsområden och där vi driver tre förskolor, familjerådgivning, samtals- och diakonimottagningar. Vi finns på sjukhuset, på högskolan och i kriminalvården, och vi söker ständigt nya kreativa arbetssätt för att vara närvarande i stadens framväxande områden. Begravningsverksamheten är aktiv i fyra verksamhetsområden. 

Anställningsform: tidsbegränsad anställning | Anställningens omfattning: deltid | Antal lediga befattningar: 1 | Sysselsättningsgrad: 50% ev mer | Ort: Jönköping | Län: Jönköpings län | Land: Sweden | Referensnummer: 2025/551 | Publicerat: 2025-08-08 | Sista ansökningsdag: 2025-08-25",https://www.linkedin.com/jobs/search/?currentJobId=4279894440&keywords=&location=Sweden&start=200
Webbredaktör,University of Gothenburg,"Gothenburg, Västra Götaland County, Sweden",1 day ago,0 people clicked apply,"On-site Full-time Entry level
Skills: Journalism, HTML, +8 more","About the job
Göteborgs universitet möter samhällets utmaningar med mångsidig kunskap. 56 000 studenter och 6 600 medarbetare gör universitetet till en stor och inspirerande arbetsplats. Stark forskning och attraktiva utbildningar lockar forskare och studenter från hela världen. Med ny kunskap och nya perspektiv bidrar Göteborgs universitet till en bättre framtid.

Göteborgs universitetsbibliotek är ett av landets största bibliotek och består av sju bibliotek med olika ämnesinriktningar, samt enheten Digitala tjänster. Göteborgs universitetsbibliotek svarar i första hand för informationsförsörjningen vid Göteborgs universitet, men har också ett nationellt och regionalt ansvar.

Du kommer att tillhöra Digitala tjänster och ingå i Team webb och kommunikation, en grupp med stor arbetsglädje, bred verksamhetskunskap och goda kontakter i bibliotekets och universitetets organisation. Dina närmsta kollegor i teamet utgörs av en teamledare med övergripande ansvar för bibliotekets webbnärvaro samt två kommunikatörer med olika ansvarsområden.

Vi erbjuder en trevlig miljö mitt i centrala Göteborg, där du får bidra till ett långsiktigt och meningsfullt arbete med tydligt användarfokus.

Arbetsuppgifter

Som webbredaktör blir du en del av Team webb och kommunikation, som ansvarar för bibliotekets webbplatser och arbetar med både intern och extern kommunikation. I nära samarbete med bibliotekets olika verksamhetsområden bidrar du till att synliggöra och tillgängliggöra våra tjänster och samlingar för universitetets studenter och forskare – en uppgift som förutsätter mycket god förståelse för biblioteksverksamhet och dess användare.

Du kommer att:

Skapa och förbättra målgruppsanpassat innehåll och struktur
Undersöka användarbehov och analysera hur webbplatserna används
Stötta bibliotekets verksamheter i att omsätta mål och förändringar till webbtjänster
Planera och genomföra kommunikationsinsatser vid projekt och förändringar

Arbetet sker i flera plattformar och kanaler, med ett tydligt fokus på målgruppernas behov. Teamet har ett systematiskt arbetssätt för planering, uppföljning och utvärdering. Det dagliga arbetet sker i nära samarbete inom teamet – både i planering och genomförande – och vilar på gemensamt ansvarstagande och initiativförmåga.

Kvalifikationer

Vi söker dig som har

en akademisk utbildning inom kommunikation med inriktning på offentlig sektor
en akademisk examen inom biblioteks- och informationsvetenskap
flerårig erfarenhet av arbete inom bibliotek
mycket goda kunskaper i svenska och engelska, både skriftligt och muntligt

Det är meriterande om du

har kunskap om principer för arbete med webb, tillgänglighet och klarspråk
har erfarenhet av att planera, genomföra och följa upp kommunikationsinsatser
har hög digital kompetens och snabbt sätter dig in i nya verktyg och plattformar

För att fungera och trivas i rollen behöver du vara engagerad, ha ett analytiskt förhållningssätt och vara nyfiken på att lära känna universitetsbibliotekets verksamhet och målgrupper. Det är viktigt att du har god samarbetsförmåga, att du tar egna initiativ och kan arbeta strukturerat både tillsammans med andra och självständigt.

Vi lägger stor vikt vid personlig lämplighet.

Anställning

Anställningsform: Vikariat- Tidsbegränsad anställning, t.o.m. 2026-05-31

Omfattning: 100 %

Placering: Göteborgs universitetsbibliotek, Digitala tjänster

Tillträde: 2025-10-01 eller enligt överenskommelse

Kontaktuppgifter för anställningen

Har du frågor om anställningen är du välkommen att kontakta

Camilla Gillén, Bibliotekschef Digitala tjänster

031-786 1744

camilla.gillen@ub.gu.se

Carin Bjarsch, Biträdande bibliotekschef Digitala tjänster

031-786 2339

carin.bjarsch@ub.gu.se

Fackliga organisationer

Fackliga företrädare vid Göteborgs universitet hittar du här: https://www.gu.se/om-universitetet/jobba-hos-oss/hjalp-for-sokande

Ansökan

Du söker anställningen via Göteborgs universitets rekryteringsportal genom att klicka på knappen ""Ansök"". Du som sökande ansvarar för att ansökan är komplett i enlighet med annonsen och att den är universitetet tillhanda senast sista ansökningsdag.

Ansökan ska vara inkommen senast: 24 augusti 2025

Universitetet arbetar aktivt för en arbetsmiljö med jämställda förhållanden och sätter värde på de kvalitéer mångfald tillför verksamheten. Universitetet tillämpar individuell lönesättning. Enligt Riksarkivets föreskrifter är universitetet skyldigt att förvara ansökningshandlingar i två år efter tillsättningsbeslutet. Om du som sökande till en anställning särskilt begär tillbaka dina handlingar återsänds de när de två åren har förflutit, i annat fall kommer de att gallras ut. Till bemannings- och rekryteringsföretag och till dig som är försäljare: Göteborgs universitet anlitar upphandlad annonsbyrå i samband med rekrytering av personal. Vi undanber oss vänligen men bestämt direktkontakt med bemannings- och rekryteringsföretag samt försäljare av jobbannonser.",https://www.linkedin.com/jobs/search/?currentJobId=4280217703&keywords=&location=Sweden&start=200
Imazo AB söker medarbetare till fisk- och djuravdelning,Imazo,"Vara, Västra Götaland County, Sweden",3 weeks ago,1 person clicked apply,"On-site Full-time Entry level
Skills: Analytical Skills, Swedish, +8 more","About the job
This job is sourced from a job board. Learn More
Imazo AB söker medarbetare till fisk- och djuravdelning.

Om jobbet

Vi söker engagerade och ansvarsfulla medarbetare till vår fisk- och djuravdelning hos Imazo AB.

Har du ett brinnande intresse för akvaristik, terrariedjur, fåglar eller smådjur? Hos oss får du en trygg och stimulerande arbetsplats med engagerade och hjälpsamma kollegor som gärna delar med sig av sin expertis.

Vi erbjuder förmåner såsom kollektivavtal, försäkringar och friskvårdsbidrag för att säkerställa en god arbetsmiljö.

Om företaget

Imazo AB är ett grossistföretag baserat i Vara, som levererar till zoofackhandlare över hela Skandinavien. Vi lagerhåller ett brett sortiment av akvariefiskar, sällskapsdjur, foder och tillbehör för zoobutiker.

Om tjänsten

Som medarbetare på vår fisk- och djuravdelning arbetar du med skötsel och omvårdnad av akvariefiskar, terrariedjur, fåglar och smådjur, samt vissa lagerrelaterade uppgifter. Arbetsuppgifterna är varierade och inkluderar:

 Fodring och vattning av djur
 Städning och underhåll av akvarier, terrarier och burar
 Orderplock, packning och inleveranser
 Kvalitetskontroll och lagerarbete relaterat till djur och tillbehör

Arbetet innebär både självständigt arbete och samarbete i grupp, med möjlighet att utveckla både arbetsprocesser och din egen kunskap inom akvaristik och djurvård. Tjänsten kombinerar djurvård med inslag av lagerarbete, vilket kräver noggrannhet och effektivitet.

Personliga egenskaper och kvalifikationer

Vi lägger stor vikt vid dina personliga egenskaper och söker dig som:

 Är passionerad för djur och har en grundläggande förståelse för djurvård
 Är ansvarstagande, noggrann och har en positiv inställning
 Kan arbeta både självständigt och i grupp
 Har ordningssinne och klarar av att arbeta i ett högt tempo
 Är stresstålig och har ett gott sifferminne
 Har goda kunskaper i svenska språket i tal och skrift

Meriterande:

 Truckkort
 Erfarenhet av djurvård eller arbete med akvariefiskar, terrariedjur, fåglar eller smådjur

Ansökningsprocessen

Är du intresserad av tjänsten? Skicka din ansökan med CV och ett personligt brev där du berättar varför du passar för detta jobb till: daniel.s@imazo.se

Märk din ansökan med:

Medarbetare Fisk- och Djuravdelning Imazo AB.

Vänligen ange i din ansökan om du har eventuella allergier (t.ex. päls, getingar eller jordnötter).

Ange även om du har erfarenhet av och/eller intresse för ett visst djurslag.

Rekryteringen sker löpande, så skicka in din ansökan snarast.

Eventuella referenskontakter bifogas i din ansökan/CV.

Med anledning av GDPR, ber vi dig att utesluta de sista fyra siffrorna i ditt personnummer

Tjänst: Lagerarbetare/djurskötare

Anställningsform: Provanställning i 6 månader

Krav: B-körkort

Arbetsplats: Gradgatan 1, 53450 Vara

Arbetsgivare: Imazo AB",https://www.linkedin.com/jobs/search/?currentJobId=4267639369&keywords=&location=Sweden&start=200
iGaming Lawyer,Fidel Partners,European Economic Area,3 weeks ago,Over 100 applicants,"Remote Full-time Mid-Senior level
Skills: Legal Instrument Writing, Anti-Money Laundering, +7 more","About the job
Key Responsibilities:
Legal review and drafting of agreements with PSPs, including processing terms, wallet services, settlement, and compliance provisions;
Assessment of PSP compliance and risk standing, including verification of licensing, internal policies, reputational checks, and regulatory status;
Collection and preparation of corporate documentation packages required for onboarding, including KYC, KYB, and internal corporate approvals;
Coordination and communication with internal stakeholders, including finance, product, tech, compliance, and operations departments to ensure smooth onboarding and execution;
Tracking the onboarding process and documentation timelines, ensuring alignment with internal priorities and deadlines;
Escalating legal and regulatory concerns and assisting in the negotiation of key contractual terms to ensure the Company’s interests are properly reflected and protected;
Maintaining internal records and documentation flow for each PSP case, ensuring that all legal and operational requirements are met before launch.

Requirements:
Law degree from a recognised university; bar admission or pending admission
2+ years of legal experience (in-house or law firm), preferably with exposure to compliance, corporate, or regulatory matters
Solid understanding of compliance areas: AML, KYC, data protection
Excellent legal drafting, analytical, and organizational skills
Strong attention to detail and ability to work under supervision
Proactive mindset, flexibility, and willingness to learn in a fast-paced environment
Effective communication skills with internal and external stakeholders
Knowledge of Ukrainian or Russian is required for this position.


Why you should join us:
We work remotely: Mon-Fri, from 10:00 to 19:00 (UTC+2) – save time by avoiding commuting.
Paid vacation and sick leave – we care about your health and timely rest. Additionally, you will have a day off in honor of your Birthday.
Competitive salary – your contribution will be properly valued.
Participation in company internal events – knowledge exchange among colleagues and enhancing your expertise.
Freedom from micromanagement and rigid hierarchies – we make decisions quickly, and you can always reach out for advice directly from any team member.
100% guaranteed professional development and acquisition of new skills.

As a team, we are constantly striving to be the best among our competitors! We offer a dynamic, forward-thinking work environment within a profitable company. We recognize that our specialists and managers are crucial to our success and are always ready to support their initiatives.",https://www.linkedin.com/jobs/search/?currentJobId=4268283190&keywords=&location=Sweden&start=200
Resturangmedarbetare- Jönköping city - Deltid 50%,Holy Greens,"Jönköping, Jönköping County, Sweden",2 days ago,1 person clicked apply,"On-site Full-time Entry level
Skills: Operations Management","About the job
Har du energi, tycker om att ta initiativ och är ansvarstagande? Häng med på vår resa mot en mer hållbar och hälsosam värld!Vi erbjuder:

Programmet ”Växa och Gro” som ger dig möjlighet att utvecklas inom företaget.
Kollektivavtal – för att säkerställa schyssta arbetsvillkor.
En rolig arbetsplats med fantastiska kollegor.
Friskvård.

Ansök idag. Vi ser fram emot att träffa dig!

ÖVRIG INFORMATION

Anställningsgrad: Deltid 50%

Arbetstider: Varierande arbetstider utefter våra öppettider 07.00-20.00, inklusive lördag söndags öppet.

Plats: Jönköping City

Lön: Timlön - vi är anslutna till Visita och följer kollektivavtal

Förmåner: Friskvårdsbidrag, förmånlig personallunch, högt tempo och trevlig service med härliga kollegor + gäster

Vi håller intervjuer löpande och tjänsten kan komma att bli tilsatt innan sista ansökningsdatum.",https://www.linkedin.com/jobs/search/?currentJobId=4280894463&keywords=&location=Sweden&start=225
"Butiksmedarbetare, Hemköp Stockholm Gärdet",Hemköp,"Stockholm, Stockholm County, Sweden",2 weeks ago,Over 100 people clicked apply,"On-site Full-time
Skills: Coffee, stocking on the shelves, +8 more","About the job
Välkommen till Hemköp, vi erbjuder en arbetsplats med familjär stämning och tydliga gemensamma värderingar - kärleken till mat genomsyrar allt vi gör.

Hemköp erbjuder en jämställd arbetsmiljö och hos oss får du en bra balans mellan jobb, fritid och familj.

För Hemköp är mångfald en styrka. Medarbetarnas kunskaper, kompetenser och perspektiv skapar nya möjligheter och bättre beslut. Vi uppmuntrar därför en mångfald av sökande till alla tjänster.

Huvudsakliga arbetsuppgifter

Till Hemköp Stockholm Gärdet är vi nu på jakt efter dig som vill ha ett roligt och stimulerande arbete. I utbyte kan vi lova goda utvecklingsmöjligheter i en organisation där vi vågar tänka i nya banor. Nedan ser du vad det innebär att vara Butiksmedarbetare på Hemköp:

Som Butiksmedarbetare får du ta stort eget ansvar för att våra kunder enkelt ska kunna hitta det de söker. 
Du ska se till att våra hyllor är välfyllda och att det är rent och snyggt i vår butik. 
Tillsammans med dina kollegor ska du ha fokus på positivt kundbemötande, försäljning och se till att vi håller högsta kvalitet. Du blir en viktig del i kedjan mot en inspirerande butiksupplevelse. 

Tjänsten avser: Tillsvidareanställning om 10 timmar per vecka, provanställning tillämpas.

Tillträde: 2025-08-11 eller enligt överenskommelse.

Arbetstider: Du kommer att variera mellan att arbeta tidig morgon, dagtid, kvällar och helger.

Det här förväntar vi oss 

Att du är matintresserad, tycker om att jobba med kunder och försäljning är en förutsättning för rollen. Nedan ser du vad som mer förväntas av dig som Butiksmedarbetare på Hemköp:

Att du ska ha lätt för att jobba i team, vara noggrann och kvalitetsmedveten. Dessutom ska du gilla när tempot är högt. 
Tillsammans med dina kollegor ska du sköta den dagliga driften av butiken. Det innebär exempelvis att du är service- och försäljningsinriktad, men även att du har sinne för såväl detaljer som helhet. 

Vi välkomnar sökande i alla åldrar, men med anledning av Arbetsmiljölagen ska du ha fyllt 18 år.

Det här erbjuder vi 

Hos oss är kollektivavtal lika självklart som Fairtrade-märkt kaffe och ekologisk frukt på jobbet. Nedan ser du vad vi mer erbjuder dig:

Kollektivavtalad lön, OB-ersättning, samt pensionsavsättningar enligt kollektivavtal.
Försäkringar genom kollektivavtal.
Förstärkt föräldrapenning.
Friskvårdsbidrag efter tre månaders anställning.
Personalrabatt efter sex månaders anställning. 
Du får erfarenheter – om t ex försäljning, service och om att driva butik. 
Vi ger dig bra möjligheter att växa genom olika ansvarsområden och utbildningar. 

Läs mer om hur det är att jobba hos oss här.

Om du vill veta mer om vad tjänsten innebär, kontakta Elias Mokdessi, 010-4744234. Vi ser gärna att du vid intresse skickar din ansökan så snart som möjligt, då tjänsten kan komma att tillsättas före sista ansökningsdag den 2025-08-10. Vi tar endast emot ansökningar via våra jobbsidor.

För att ta reda på om just du är den vi söker så innehåller vår rekryteringsprocess både tester och intervjuer.

Vi gör även bakgrundskontroll vid samtliga rekryteringar. Läs mer: Så går det till när du söker jobb inom Axfood

Observera att vi inte under denna rekryteringsprocess kommer be dig logga in med ditt Bank-id eller scanna någon QR-kod. Vid frågor kontakta Medarbetarsupporten på jobb@axfood.se.

Om Hemköp

Vi inom Hemköp och Tempo är stolta över att för tredje året i rad ha utsetts till ""Årets Karriärföretag"" när Sveriges främsta arbetsgivare listas av Karriärföretagen. Utmärkelsen delas ut till de arbetsgivare i Sverige som anses vara mest attraktiva för studenter och yrkesverksamma att göra karriär på.

Vi är även stolta över att vi 2023 blev utsedda till “Årets Employer Branding-företag” av Universum.

På Hemköp arbetar vi mot ett gemensamt mål att vara ledande inom hållbarhet genom att erbjuda alla matälskare ett godare sortiment, verka för en godare miljö, inspirera till godare vanor och vara en godare aktör.",https://www.linkedin.com/jobs/search/?currentJobId=4275567457&keywords=&location=Sweden&start=225
Privacy Analyst,Spotify,"Stockholm, Stockholm County, Sweden",2 days ago,37 people clicked apply,"Full-time Entry level
Skills: Analytical Skills, English, +8 more","About the job
As a Privacy Analyst specializing in Data Subject Rights (DSR) requests, you will play a critical role in ensuring compliance with global data privacy regulations. You will manage and respond to DSR requests related to data access, deletion, and other privacy rights, collaborating with cross-functional teams (e.g. Privacy Counsels, Customer Support, Product Managers, Engineers) and ensuring timely and accurate resolution. Additionally, you will help to deliver key projects and business as usual activities that allow us to scale and mature our Privacy Program.

This role sits within Spotify’s Privacy team, which consists of Privacy Program Management and Privacy Legal. As a Privacy Analyst you will be part of the Privacy Program Management team, reporting to the Privacy Program Manager, but will also be working closely with Privacy Counsels.

The right applicant has a strong attention to detail and a deep understanding of privacy principles. They possess excellent problem-solving skills and are adept at analyzing complex situations to ensure compliance with legal requirements. Additionally, they can effectively balance regulatory obligations with fostering user trust while collaborating across teams and managing intricate workflows.

What You'll Do

Mainly focusing on responding to DSR requests Spotify receives from its users, ensuring high quality and timely responses.
Develop and improve operational processes to handle DSR requests efficiently while aligning with business objectives and regulatory requirements.
Create, implement, and communicate Customer Support guidelines, and best practices related to privacy.
Help the Privacy Program Management team with other initiatives and projects. 
Serve as the primary owner for various additional operational tasks related to privacy.

Who You Are

2+ years of experience in handling data subject rights requests.
Solid understanding of privacy compliance and data protection.
Demonstrated ability to work independently with minimal supervision while effectively managing multiple deadlines.
Experience in managing DSR requests.
A self-starter with an eye for detail but also the ability to consider the big picture.
Excellent interpersonal and communication skills, including the ability to explain complex privacy concepts to non-experts. 
Fluency in English is essential.
Privacy certifications (like CIPP/E, CIPM and CIPT) is a plus.

Where You'll Be

This role is based in London or Stockholm.
We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come in 2-3 times per week. 

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - we’re here to support you in any way we can.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service.",https://www.linkedin.com/jobs/search/?currentJobId=4280987498&keywords=&location=Sweden&start=225
"Teacher, Substitute",Internationella Engelska Skolan i Sverige AB,"Upplands Väsby, Stockholm County, Sweden",4 days ago,4 people clicked apply,"On-site Full-time Entry level
Skills: English, Teaching, +8 more","About the job
This job is sourced from a job board. Learn More
Internationella Engelska Skolan (IES) is a leading independent school group with academic results far above average and a diverse and energetic staff. Teaching is in both Swedish and English, and the hallways are bilingual. The language of meetings and communication amongst the staff is English.

IES is one of Sweden's largest school groups at compulsory school level with 48 schools and around 32,000 students across the country. IES has grown steadily and maintained quality since 1993.

IES Upplands Väsby söker nu en person som kan arbeta som vikarie för fritids och som vikarierande lärare (F-klass till årskurs 9). Vi söker nu en flexibel och engagerad person som kan täcka upp för frånvarande fritidspersonal och lärare från förskoleklass upp till årskurs 9, inom alla ämnen. Tjänsten är tillgänglig med start så snart som möjligt. Arbetsbeskrivning: Du kommer att arbeta utifrån tydliga instruktioner och lektionsplaneringar som tillhandahålls av den ordinarie läraren. Vissa uppdrag kan planeras i förväg, medan andra kan kräva att du är tillgänglig med kort varsel. Därför ser vi gärna att du har rimligt pendlingsavstånd till Upplands Väsby. Vem är du? Den här rollen passar dig som har erfarenhet av att arbeta med barn, är nyfiken på att undervisa eller arbeta inom fritidsverksamhet. Vi söker dig som är trygg i klassrummet, följer instruktioner med lätthet och trivs med att arbeta med barn i åldrarna 6 till 16 år. Du bör vara lugn, ansvarstagande och ha god kommunikationsförmåga. Flytande engelska är ett krav. Krav: - Giltigt arbetstillstånd för Sverige - Utdrag ur belastningsregistret, enligt lag för arbete med barn Vi lägger stor vikt vid personliga egenskaper och din förmåga att skapa en trygg och inspirerande lärmiljö. Ansökan: Vi tar endast emot ansökningar via IES Careers. Urval och intervjuer sker löpande, och tjänsten kan komma att tillsättas innan sista ansökningsdag. Välkommen med din ansökan!",https://www.linkedin.com/jobs/search/?currentJobId=4280737692&keywords=&location=Sweden&start=225
Servitris/ Servitör till Falkenberg Strandbad,ESS Group,"Falkenberg, Halland County, Sweden",4 weeks ago,5 people clicked apply,"On-site Full-time Entry level
Skills: Interpersonal Skills, Food and Drinks, +8 more","About the job
Falkenberg Strandbad, en oas där pool cluben bultar av känslor och förväntan, där drinkarna skakas och dekoreras med ananasblad och parasoll. Doften av klassiker kring det öppna köket i Brasserie Famille, grillen i Sandy´s ryker och Kelly´s erbjuder dans på varje solbädd. Strandbaden är den perfekta platsen att titta ut över havet samtidigt som du rycks med av alla glada gäster.

Vi skapar upplevelser i världsklass, minnen för livet och en arbetsplats att vara riktigt stolt över och vi lever våra värdeord i allt vi gör. Att vara Passionerad, Professionell, Lekfull & Personlig är vad som gör oss unika och vad som får oss att växa.

Arbetsbeskrivning

I rollen som Servismedarbetare på Falkenberg Strandberg kommer du att sätta tonen för våra gästers upplevelse. Du är ansiktet utåt och ser till att varje besök är minnesvärt genom personlig och proaktiv service. Med din härliga energi och noggrannhet blir du en viktig del av vårt serviceteam.

Ansvarsområden

Säkerställa att våra gäster får snabb och vänlig service och en upplevelse de bär med sig länge.
Arbeta tillsammans med köket för att säkerställa leverans av kvalitetsmåltider och drycker.
Hålla serveringsområdena rena och välorganiserade.

Vem vi söker

Vi letar efter en person med stor passion för gästservice och en vilja att alltid skapa positiva upplevelser. Du bör vara flexibel, lösningsorienterad och kunna hantera flera uppgifter samtidigt.

Kvalifikationer

Tidigare erfarenhet inom service eller gästrelaterade roller är meriterande.
Förmåga att arbeta både självständigt och som en del av ett team.
Utmärkt kommunikationsförmåga och en positiv inställning.
Förståelse och förmåga att arbeta i en flexibel och snabb miljö.

Om tjänsten

Anställningsform: 75% tillsvidare belagd på kvällstid

Tillträde och lön: Lön enligt avtal och tillträde enligt överenskommelse

Vi är just nu mitt i en semesterperiod därför kan svar dröja till början på augusti. Sista ansökningsdag 10 augusti

Uppfyller du inte alla exakt alla krav i annonsen? Tveka inte att skicka in en ansökan ändå, vi är beredda att överväga sökande med närliggande arbetslivserfarenhet och utbildning.

Hos oss får du en arbetsplats med utvecklingsmöjligheter, både inom huset liksom inom ESS Group. Vi jobbar ständigt med att utveckla våra medarbetare med hjälp av interna utbildningar inom ledarskap, stresshantering och mycket mer. Som medarbetare hos oss får du tillgång till extremt fina rabatter på våra destinationer och restauranger runt om i Norden. Vi ställer dessutom till med festligheter och andra roliga aktiviteter för att hålla samman teamet. Utöver det får du en säker anställning, friskvårdsbidrag samt otroliga kollegor som kanske till och med blir dina vänner för livet!",https://www.linkedin.com/jobs/search/?currentJobId=4264657931&keywords=&location=Sweden&start=225
